timestamp,sound,light,movement,temperature,humidity,heartrate
2026-01-20T16:18:34.920486+00:00,81,1083,0.09,24.77,60.93,85
2026-01-20T16:18:35.426907+00:00,76,1068,0.07,24.77,60.91,85
2026-01-20T16:18:36.028794+00:00,93,1071,0.08,24.77,60.9,85
2026-01-20T16:18:36.582535+00:00,76,1087,0.06,24.77,60.9,85
2026-01-20T16:18:37.102006+00:00,74,1070,0.03,24.78,60.89,85
2026-01-20T16:18:37.626172+00:00,74,1090,0.04,24.78,60.87,85
2026-01-20T16:18:38.226500+00:00,76,1049,0.05,24.79,60.83,85
2026-01-20T16:18:38.752009+00:00,69,1068,0.06,24.78,60.83,85
2026-01-20T16:18:39.292153+00:00,89,1084,0.06,24.78,60.83,85
2026-01-20T16:18:39.818135+00:00,70,1072,0.03,24.78,60.84,85
2026-01-20T16:18:40.432920+00:00,71,1063,0.11,24.79,60.87,85
2026-01-20T16:18:40.941368+00:00,72,1072,0.1,24.79,60.87,85
2026-01-20T16:18:41.578709+00:00,82,1072,0.06,24.8,60.84,85
2026-01-20T16:18:42.085672+00:00,72,1086,0.02,24.79,60.84,85
2026-01-20T16:18:42.640327+00:00,84,1073,0.03,24.79,60.83,85
2026-01-20T16:18:43.434151+00:00,82,1059,0.06,24.81,60.87,85
2026-01-20T16:18:43.702444+00:00,69,1071,0.04,24.8,60.85,85
2026-01-20T16:18:44.258940+00:00,81,1073,0.02,24.8,60.84,85
2026-01-20T16:18:44.832602+00:00,84,1077,0.05,24.78,60.81,85
2026-01-20T16:18:45.325354+00:00,73,1002,0.07,24.79,60.76,85
2026-01-20T16:18:45.930218+00:00,67,1066,0.05,24.8,60.7,85
2026-01-20T16:18:46.470179+00:00,86,1091,0.04,24.8,60.66,85
2026-01-20T16:18:46.977059+00:00,92,1072,0.03,24.81,60.66,85
2026-01-20T16:18:47.592391+00:00,75,1075,0.07,24.8,60.7,85
2026-01-20T16:18:48.116438+00:00,86,1082,0.1,24.8,60.71,85
2026-01-20T16:18:48.684063+00:00,88,1073,0.07,24.78,60.74,85
2026-01-20T16:18:49.240203+00:00,75,1088,0.05,24.8,60.68,85
2026-01-20T16:18:49.811245+00:00,79,1071,0.01,24.8,60.64,85
2026-01-20T16:18:50.322544+00:00,87,1071,0.08,24.81,60.62,85
2026-01-20T16:18:50.890230+00:00,79,1088,0.08,24.81,60.61,85
2026-01-20T16:18:51.430910+00:00,76,1070,0.06,24.82,60.64,85
2026-01-20T16:18:51.998913+00:00,88,1085,0.05,24.81,60.65,85
2026-01-20T16:18:52.555432+00:00,65,1070,0.04,24.81,60.66,85
2026-01-20T16:18:53.077536+00:00,74,1062,0.05,24.81,60.65,85
2026-01-20T16:18:53.628286+00:00,72,1069,0.05,24.81,60.59,85
2026-01-20T16:18:54.199282+00:00,78,1046,0.06,24.8,60.56,85
2026-01-20T16:18:54.722262+00:00,71,1050,0.13,24.79,60.62,85
2026-01-20T16:18:55.278674+00:00,71,1071,0.15,24.8,60.62,85
2026-01-20T16:18:55.835702+00:00,83,1071,0.08,24.8,60.62,85
2026-01-20T16:18:56.376132+00:00,87,1083,0.09,24.8,60.6,85
2026-01-20T16:18:56.977236+00:00,96,1069,0.12,24.8,60.52,85
2026-01-20T16:18:57.562588+00:00,89,1071,0.14,24.79,60.46,85
2026-01-20T16:18:58.068116+00:00,73,1084,0.06,24.77,60.48,85
2026-01-20T16:18:58.730414+00:00,78,1070,0.13,24.79,60.45,85
2026-01-20T16:18:59.144065+00:00,90,1081,0.08,24.76,60.47,85
2026-01-20T16:18:59.699525+00:00,77,1072,0.07,24.78,60.47,85
2026-01-20T16:19:00.239966+00:00,72,1072,0.11,24.78,60.49,85
2026-01-20T16:19:00.796916+00:00,80,1085,0.12,24.79,60.5,85
2026-01-20T16:19:01.337465+00:00,70,1071,0.06,24.79,60.45,85
2026-01-20T16:19:01.909299+00:00,82,1070,0.08,24.78,60.44,85
2026-01-20T16:19:02.496436+00:00,81,1078,0.14,24.78,60.43,85
2026-01-20T16:19:03.000021+00:00,88,1072,0.12,24.78,60.4,85
